numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion
3;auspol2019;hash_cerrado_linear;screen_name;160000;0.015013000
3;auspol2019;hash_cerrado_linear;screen_name;170000;0.015572600
3;auspol2019;hash_cerrado_linear;screen_name;180000;0.016057500
3;auspol2019;hash_cerrado_quadratic;user_id;10000;0.001062700
3;auspol2019;hash_cerrado_quadratic;user_id;20000;0.002001200
3;auspol2019;hash_cerrado_quadratic;user_id;30000;0.002325300
3;auspol2019;hash_cerrado_quadratic;user_id;40000;0.002644600
3;auspol2019;hash_cerrado_quadratic;user_id;50000;0.003041600
3;auspol2019;hash_cerrado_quadratic;user_id;60000;0.005264000
3;auspol2019;hash_cerrado_quadratic;user_id;70000;0.005717100
3;auspol2019;hash_cerrado_quadratic;user_id;80000;0.006178100
3;auspol2019;hash_cerrado_quadratic;user_id;90000;0.006576100
3;auspol2019;hash_cerrado_quadratic;user_id;100000;0.006934900
3;auspol2019;hash_cerrado_quadratic;user_id;110000;0.007228100
3;auspol2019;hash_cerrado_quadratic;user_id;120000;0.007482600
